City,Cuisine,Name,Star,Comments,PCC,Taste,Envir,Service
东莞,火锅,全汁全味驴庄(常平店),中等,1,44.5以下,7.8,7.6,7.7
东莞,火锅,黄记煌三汁焖锅(厚街万达店),中等,1,44.5-96.5,7.7,8,8.1
东莞,火锅,海银海记潮汕牛肉特色火锅(怡丰...,中等,1,44.5-96.5,7.9,8.3,7.9
东莞,火锅,春润大地海南椰子鸡(虎门地标店)分店,中等,1,44.5-96.5,8.2,8.2,7.7
东莞,火锅,馋胖肉蟹煲,中等,1,44.5-96.5,8.1,8,8.3
东莞,火锅,东润四季椰子鸡(十三碗店),中等,1,44.5-96.5,8,7.6,7.7
东莞,火锅,江南春天椰子鸡(凤岗店),中等,1,44.5以下,7.7,7.7,7.7
东莞,火锅,锅汁锅味云南野生菌火锅,中等,1,44.5-96.5,7.7,7.7,7.7
东莞,火锅,汕头邻里飘香牛肉店,中等,1,44.5-96.5,7.8,7.7,7.8
东莞,火锅,牧状元农家菜,中等,1,44.5-96.5,7.7,7.7,7.8
东莞,火锅,海角恋海南椰子鸡,中等,1,44.5-96.5,8.1,8.2,8.3
东莞,日本料理,花之宴创意料理(汇一城店)广告,高等,1,44.5-96.5,8.3,9,8.5
东莞,日本料理,桃太郎炭火烧肉(东城店),中等,1,96.5-208,8.5,8.3,8.3
东莞,日本料理,掂·东莞店(东莞万达广场店),中等,1,44.5-96.5,8.3,8.2,8.3
东莞,日本料理,大阪烧肉双子,高等,1,208以上,8.2,8.2,8.7
东莞,日本料理,千羽寿司(壹号广场店),高等,1,44.5-96.5,8.9,8.8,9
东莞,日本料理,桃太郎炭火烧肉(常平店),中等,1,96.5-208,8.2,7.9,7.4
东莞,日本料理,大腕鳗,中等,1,44.5-96.5,7.8,7.9,7.7
东莞,日本料理,鸟剑居酒屋(东城店)分店,中等,1,96.5-208,8.3,8.6,7.8
东莞,日本料理,美蝶·味萌高级料理(汇一城店),中等,1,96.5-208,8.1,8.4,8.1
东莞,日本料理,田社家日本料理,中等,1,208以上,7.7,7.8,7.9
东莞,日本料理,元通回转寿司(长青店)分店,中等,1,96.5-208,8.3,8.3,8
东莞,日本料理,千羽寿司(星河城店)分店,中等,1,44.5-96.5,8.4,8.5,8.1
东莞,日本料理,千羽寿司(莞城万科店)分店,高等,1,44.5-96.5,8.5,8.8,8.1
东莞,日本料理,元通回转寿司(盈锋店)分店,高等,1,44.5-96.5,8.5,8.4,8.3
东莞,日本料理,海悦金沢料理,中等,1,208以上,7.8,8.2,8.1
东莞,日本料理,元通回转寿司(名城店)分店,中等,1,96.5-208,8.3,8.4,7.8
东莞,日本料理,板井寿司(东城愉景店)分店,中等,1,44.5-96.5,7.8,7.7,7.8
东莞,日本料理,牛亭日式炭火烤肉(厚街店),中等,1,44.5-96.5,7.7,7.6,7.2
东莞,日本料理,元通回转寿司(万科店)分店,中等,1,96.5-208,7.6,7.6,7.6
东莞,农家菜,无花果休闲农庄,中等,1,44.5-96.5,7.9,7.7,7.7
东莞,日本料理,千羽寿司(南城盒汇店)分店,中等,1,44.5-96.5,8.1,7.9,8
东莞,日本料理,元通回转寿司(东城店)分店,中等,1,44.5-96.5,7.8,8,7.4
东莞,日本料理,喜悦烤肉(东城万达广场店),中等,1,44.5-96.5,7.5,7.7,7.7
东莞,日本料理,清崎回转日式料理,中等,1,44.5-96.5,7.7,7.7,7.7
东莞,日本料理,唐拉雅秀酒店－杉田日本餐厅,中等,1,96.5-208,7.7,7.9,7.8
东莞,日本料理,寿司猫(厚街万达店),中等,1,44.5-96.5,7.5,7.9,7.8
东莞,日本料理,千羽寿司(万科广场长安店)分店,中等,1,44.5-96.5,8.2,8.3,8.2
东莞,日本料理,千羽寿司(明丰广场店),中等,1,44.5-96.5,8.1,8.2,8.4
东莞,日本料理,千羽寿司(景湖时代城店)分店,中等,1,44.5-96.5,8.2,8.1,8
东莞,日本料理,千羽寿司(华南MALL店)分店,中等,1,44.5-96.5,7.7,7.9,7.8
东莞,日本料理,元通回转寿司(地标店),中等,1,96.5-208,8,8.1,8
东莞,粤菜,东莞人家,中等,2,44.5-96.5,8.4,7.9,7.5
东莞,粤菜,何莉儿HOLLYII(万科城市广场店),中等,1,44.5-96.5,7.9,9.1,8.2
东莞,粤菜,润泽园椰子鸡(汇一城总店),高等,2,44.5-96.5,8.6,8.7,8.2
东莞,粤菜,东莞老饭店,中等,1,96.5-208,8,8,7.7
东莞,粤菜,稻香酒家(天景分店)分店,中等,1,44.5-96.5,7.6,8,7.7
东莞,粤菜,食盈碗仔翅,中等,1,44.5以下,8,7.6,7.5
东莞,粤菜,棉记糖水店,中等,1,44.5以下,8.1,7.3,7.5
东莞,粤菜,蒸尚鲜海鲜汽锅,高等,1,44.5-96.5,8.7,8.7,8.8
东莞,粤菜,蟹家美式海鲜餐厅The Crab House,中等,1,96.5-208,8.1,8.2,8.4
东莞,粤菜,唐宫海鲜舫,中等,1,96.5-208,7.8,7.9,7.6
东莞,粤菜,蚝得喜海鲜,中等,1,96.5-208,7.9,7,7
东莞,粤菜,顺风山庄,中等,1,96.5-208,8.1,8,7.5
东莞,粤菜,客语(东城万达广场店),中等,2,44.5-96.5,8,7.9,7.7
东莞,东南亚菜,牛檬王越食堂(莱蒙商业中心店),中等,1,44.5以下,8.2,9,8.8
东莞,东南亚菜,鑫泰泰国料理(东城万达广场店),中等,1,44.5-96.5,7.9,8.1,7.9
东莞,东南亚菜,泰排档,中等,1,44.5-96.5,7.9,7.2,7.4
