country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cambodia,637142865.7,642857134.3,660000008.6,728571437.1,782857128.6,868571428.6,914285714.3,962857134.3,1065714249,978873232.4,718401157.7,969911421.4,505549441.4,702899156,588443893.7,,,,,,,,,,,,,,,,,,,2533727592,2791435272,3441205693,3506695720,3443413389,3120425503,3517242477,3677897739,3984000517,4284028483,4658246918,5337833248,6293046162,7274595707,8639235842,10351914093,10401851851,11242275199,12829541141,14054443213,15227991395,16702610842,18049954289,20016747754,22177200512,24571753583
Kiribati,,,,,,,,,,,14295279.54,15278632.48,18936526.95,31710657.73,85637174.37,55081816.99,41109617.5,38748059.44,45210026.32,42620165.44,38715554.54,41369800.05,40572066.13,37837837.84,41246160.6,32125148.4,32085561.5,33608738.27,42972107.2,41119721.65,39809538.68,47515189.28,47737955.35,46919624.64,54832577.86,56338028.17,66515376.79,67537479.59,65334841.06,69032258.06,67254174.4,63101272.37,72196457.68,90231856.8,102367039.3,112133944.3,110234939.8,132671743,141042610.3,132420059.3,156120895.2,181705002.6,190243321.6,185113921.6,179703443.3,171117872.4,178328873,185572501.5,188284518.8
"Korea, Rep.",3957240261,2417638423,2813856976,3988476879,3458565257,3120495495,3928281860,4854724235,6117115489,7675943920,8999227202,9889961112,10842220469,13841885921,19482038223,21704752066,29779338843,38265082645,51700619835,66567975207,64980820835,72425590649,77773431088,87024427973,96597434180,1.00273E+11,1.15537E+11,1.46133E+11,1.96964E+11,2.43526E+11,2.79349E+11,3.25734E+11,3.50051E+11,3.86303E+11,4.55603E+11,5.56131E+11,5.98099E+11,5.57503E+11,3.74241E+11,4.85248E+11,5.61633E+11,5.33052E+11,6.0902E+11,6.80521E+11,7.64881E+11,8.98137E+11,1.0118E+12,1.12268E+12,1.00222E+12,9.01935E+11,1.0945E+12,1.20246E+12,1.22281E+12,1.3056E+12,1.41133E+12,1.38276E+12,1.4148E+12,1.53075E+12,1.61942E+12
Lao PDR,,,,,,,,,,,,,,,,,,,,,,,,,1757142806,2366666616,1776842041,1087273104,598961269.3,714046821.1,865559856.2,1028087972,1127806945,1327748655,1543606345,1763536305,1873671550,1747011857,1280177839,1454430642,1731198022,1768619058,1758176653,2023324407,2366398120,2735558726,3452882514,4222962988,5443915121,5832915387,7127792630,8749241114,10191350120,11942230508,13268458232,14390391264,15805707154,16853087485,18130724396
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,1130457130,1121486563,1292281654,1348827324,1517496131,1941246972,2269233639,2683254708,3220920085,3735117374,4879018602,5625533410,6265844252,6996034037,7122539667,7211264780,6742367273,6490571704,6720492406,6811227983,7322677820,8195033162,10585624891,12092222042,14789661809,18340447243,20917444920,21475520709,28123640999,36709860068,43031577366,51552075902,55347998648,45361678147,45322259884,50559431846,54545184268
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,31020000,34918000,41749000,45144000,43879000,55989000,62983000,70688000,72798000,78476000,82507000,91063000,99461000,108071000,120230000,110858000,106289100,108702100,107978900,110937700,115152100,124735100,126887600,131334600,137928600,143930000,150776500,152788700,152617500,164969100,173260300,185210500,190800800,183121300,179697900,194497900,204173400,211523642.4
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905066164,6477790688,6777632512,10467109978,10567354056,11986972419,14502553710,20182477481,31862554102,36906181381,49540813342,59977326086,59937797559,60269734045,65446199788,59687410897,63256184700,66719084836,71214803378
Mongolia,,,,,,,,,,,,,,,,,,,,,,2310099100,2552401933,2725736633,2098734600,2186505475,2896178867,3020611600,3204461567,3576966800,2560785660,2379018326,1317611864,768401634.2,925817092.2,1452165005,1345719472,1180934203,1124440249,1057408589,1136896124,1267997934,1396555720,1595297356,1992066808,2523471532,3414055566,4234999823,5623216449,4583850368,7189481824,10409797649,12292770631,12582122604,12226514722,11749620620,11186734674,11433635876,13009574621
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1284000000,1239000000,1210000000,1061000000,990000000,938000000,939000000,795000000,799000000,733000000,751000000,782000000,845000000,931000000,1250000000,1593000000,
Malaysia,1916241997,1901868548,2001502679,2510126748,2674441396,2956356984,3143538482,3188945512,3330393310,3664575983,3864170913,4244340334,5043268549,7662996767,9496074114,9298800799,11050125905,13139397879,16358376511,21213672089,24488033442,25004557094,26804401816,30346788438,33943505718,31200161095,27734562640,32181695507,35271880250,38848567631,44024178343,49142784405,59167157498,66894448545,74477975918,88704944179,1.00855E+11,1.00005E+11,72167753771,79148947368,93789736842,92783947368,1.00845E+11,1.10202E+11,1.2475E+11,1.43534E+11,1.62691E+11,1.93548E+11,2.30814E+11,2.02258E+11,2.55017E+11,2.97952E+11,3.14443E+11,3.23277E+11,3.38062E+11,2.96636E+11,2.96753E+11,3.14707E+11,3.54348E+11
New Caledonia,,,,,,159594493.5,164206537.6,180036768.9,215507164,263108834.5,358815681.9,413634335.3,505892512.9,542294864.8,637400199.1,816647865.8,798310509.6,837616756.5,846007597.7,1047225130,1182457143,972563810.2,904619629.8,823832940.5,796018978.5,854823821.7,1201262518,1488113532,2072735787,2185072798,2529310104,2653781596,2923764926,3070161471,3038727617,3628440275,3606968434,3291489841,3158806480,3056999988,2682347064,,,,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20439559.58,39292928.31,44294351.76,49234059.72,72682692.54,103837431.9,108631468.3,117013202.3,99964019.3,102055047.9,113880715.2,114718022.8
New Zealand,5485854792,5670064168,6077496268,6638937283,7274144351,5654463586,5863733231,5961418094,5180597621,5761588762,6623527495,7911136757,9567331065,12802281898,13940981798,12861983284,13604832424,15446825318,18530518395,20731243113,23244547385,24417617184,24164603059,24309279706,21665975319,24679795396,30604668357,40376354070,45176811594,43920222525,45495129385,42745329732,41649829860,46775620817,55314732279,63918703507,70140835299,66075143415,56227169851,58762260626,52623281957,53872425917,66627729311,88250885550,1.03905E+11,1.1472E+11,1.11609E+11,1.37316E+11,1.3328E+11,1.21339E+11,1.46584E+11,1.68462E+11,1.76194E+11,1.90784E+11,2.00834E+11,1.77208E+11,1.87854E+11,2.02591E+11,2.05025E+11
Philippines,6684568805,7256966966,4399827768,4875309866,5271404668,5784398977,6371459304,6809134236,7591603053,8408229699,6687204834,7408305736,8017468688,10082885603,13781139970,14893969288,17097563270,19648106122,22706155475,27502168727,32450541843,35646416953,37140163934,33212180658,31408492877,30734335449,29868339081,33195933430,37885440419,42575183906,44311593756,45417561302,52976344929,54368083953,64084460124,74119987245,82848140618,82344260571,72207028768,82995145793,81026300310,76262072467,81357605642,83908206648,91371242495,1.03072E+11,1.22211E+11,1.4936E+11,1.74195E+11,1.68335E+11,1.99591E+11,2.24143E+11,2.50092E+11,2.71836E+11,2.84585E+11,2.92774E+11,3.04898E+11,3.1362E+11,3.3091E+11
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144759500,155430000,161950700,152765800,164163200,184677300,188037700,193113700,196859300,182704300,182863000,193235600,214648500,225345700,245675100,293124000,303984500,289823500,310111145
Papua New Guinea,230496033,244832035,261184037.4,275968039.5,305312043.7,344159480.3,390973233.3,441706910.1,485160824.3,551237316.6,645537126.2,717716130.5,858802035.9,1299105241,1467346060,1356591177,1511856584,1640763204,1947947524,2293621944,2545983008,2498068351,2368584970,2562492525,2552526263,2423373088,2648033766,3143848331,3655979702,3546460177,3219730365,3787394958,4377980510,4974550286,5502786070,4636057476,5155311077,4936615299,3789443015,3477038204,3521339699,3081024212,2999511040,3536411824,3927157867,4865892972,8306343442,9545071325,11670678864,11619541940,14250726290,17984816533,21295834133,21261305413,23210611847,21723378125,20759048835,22277692409,23431596214
"Korea, Dem. People’s Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,176534589.6,215659455,220984369.1,259590076.3,242943776.9,254035999.2,296613496.9,325843254.7,431254103,555337985.7,690319754.9,732286143.3,793193187.4,1005573294,1215031775,1362151524,1279972866,1286462643,1335895286,1378991403,1507230779,2301514717,2543199148,2687472830,2636461517,3181206305,3267367610,3558215110,3694600400,3522272321,3982374846,3954696874,3567062512,3775160797,3797016069,3447543138,,,,,,,,,,,,,,,,,,
Singapore,704756304.7,764634783.7,826244610,917614007.6,894159153.3,974650463.9,1096432771,1238043904,1425715406,1659904613,1920586698,2263785444,2721440981,3696213333,5221534956,5633673930,6327077974,6618585074,7517176355,9296921724,11896256783,14175228844,16084252378,17784112150,19749361098,19156532746,18586746057,20919215578,25371462488,30465364739,36144336769,45466164978,52130263966,60603478153,73690847191,87810991957,96295886525,1.00124E+11,85728310229,86284660767,96074477958,89794943350,92537752709,97645448284,1.15035E+11,1.27808E+11,1.4863E+11,1.80942E+11,1.93612E+11,1.94152E+11,2.39809E+11,2.79351E+11,2.95087E+11,3.07576E+11,3.14851E+11,3.08004E+11,3.18068E+11,3.38406E+11,3.64157E+11
Solomon Islands,,,,,,,,25203524.03,28084252.76,28606411.4,,50056882.82,40606712.05,55272108.84,84539332.28,74617096.48,83099107.91,93147039.25,111022090,151270207.9,168715353.1,187313261.3,188446092.1,180219397.5,252806783.4,232306861.2,210737869.7,238606299.6,310684273.7,332286760.9,302515026.9,320355090.6,378778047.2,410923236.2,464756638.5,519334096.7,565163750.6,567919502.8,471177008.1,482214092.3,435103853.5,400463452.1,341661643.6,332738245.9,375111894.9,413909879.3,456705434,516074229,608229326.7,597765363.1,681151190,932725578.8,1063879451,1129787202,1172268296,1154650066,1232699140,1321131091,1411904531
Thailand,2760747472,3034043574,3308912797,3540403457,3889129942,4388937649,5279230817,5638461442,6081009428,6695336567,7086538438,7375000024,8177884553,10838587358,13703000530,14882747955,16985211146,19779315170,24006570178,27371699083,32353440727,34846107862,36589797857,40042826244,41797592963,38900692712,43096746122,50535438696,61667199835,72250877410,85343063966,98234695722,1.11453E+11,1.2889E+11,1.46683E+11,1.69279E+11,1.83035E+11,1.5018E+11,1.13676E+11,1.26669E+11,1.26392E+11,1.20297E+11,1.34301E+11,1.52281E+11,1.72895E+11,1.89318E+11,2.21758E+11,2.62943E+11,2.91383E+11,2.8171E+11,3.41105E+11,3.70819E+11,3.97558E+11,4.20333E+11,4.07339E+11,4.01296E+11,4.12353E+11,4.55276E+11,5.04993E+11
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439646121.6,517708470.6,510677040.1,543315609.4,1078373729,1813708128,2657842665,2881040228,4391368105,3199666691,3998961314,5672048723,6661664575,5637671696,4041636957,3092624755,2503532102,2487269437,2581000000
Tonga,,,,,,,,,,,,,,,,32506741.72,30036416.96,34139387.89,41567471.67,44667002.01,53260077.43,62242013.33,62068161.07,60863963.96,64248354.54,60058663.31,68195855.61,81667133.45,106657267.4,106344855,113563821.6,132201141.4,137066290.6,138489884.4,193775943,202547013.9,219583570.1,212155124.7,188686997.3,196686674.7,202363492.2,181244788.5,182737040.1,202543202,229358214.8,262176133.7,294137737.1,300143056.9,349484427.6,318166562.8,369485198.8,423011844.3,472358251.2,450686353.7,443911052.3,435438217.3,401109307.4,430174168.7,450353313.9
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8824447.74,9365165.914,9742949.471,9630762.954,10886825.56,11025945.14,12334846.23,12700905.45,12757632.87,13687141.11,13742057.05,13196544.95,15450994.24,18231078.54,21534931.61,21839098.89,22902861.45,27030996.03,30290770.26,27101312.79,31824701.28,38713279.62,37671734.49,37507514.54,37291841.43,35492333.86,36547419.87,40620557.13,42587778.47
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,14094687821,26336616250,36658108850,25423812649,6293304975,6471740806,9613369520,9866990236,13180953598,16286433533,20736164459,24657470575,26843700442,27209602050,28683659007,31172518403,32685198735,35064105501,39552513316,45427854693,57633255618,66371664817,77414425532,99130304099,1.06015E+11,1.15932E+11,1.35539E+11,1.5582E+11,1.71222E+11,1.86205E+11,1.93241E+11,2.05276E+11,2.2378E+11,2.44948E+11
Vanuatu,,,,,,,,,,,,,,,,,,,,119258835.3,113423181.3,98746405.39,98144643.9,110123779.8,135553764,123698506.1,118691396.8,130834145.1,148545381.4,144482170.2,158397403,188869985.7,196142585,188080374.4,219260341.1,233902114.9,245177633.2,255890221.8,262301252.8,267999225.3,272014693.1,257926881.7,262603781.8,314463144,364996869.1,394962552.3,439376794.1,526428309.9,607958616.1,610066628.7,700804286.2,792149700.7,781702874.1,801787555.9,814954307,737917151.4,787942567.4,849708342.7,887817896.3
Samoa,,,,,,,,,,,,,,,,,,,,,,,121221651.6,111862823.6,109200934.3,95572172.98,100947848.6,111713922.1,133016065.4,122888609.7,125766269.8,125597205.4,132303041.4,133122897.2,221098106.5,224865731.4,249908970.7,285475591.9,269481523.2,258833766.6,269019710.3,273088357.2,288078881.4,338838639.4,420320176.4,462649043,508503671.3,550970655.5,644132488.9,560959527.8,643046733.4,739785121.9,801168622.3,804808525.5,805162576.4,804100573.4,786640012.2,841538413,861494700.7
